,Country Name,croissance demo,Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,unurished death cause (%),CO2 emission (ton/capita),GDP_growth (%),Political_Stability,gini index
85,New Zealand,0.010947368421052634,168.0,23.0,1.0,223.0,3.7636478810387928,7.2670332152425345,2.528176680494451,1.357222222222222,
86,Nepal,0.008526315789473686,58.0,,0.0,58.0,36.77660713165297,0.17406935302971674,3.78147682498396,-1.4249999999999998,37.266666666666666
87,Oman,0.040894736842105275,114.0,16.0,126.0,7.0,10.621912826626135,12.633197972344629,8.174697199971188,0.7955555555555557,
88,Uganda,0.031526315789473694,66.0,0.0,0.0,65.0,62.354648284235225,0.08012859106085399,5.667132349870959,-1.0166666666666666,42.660000000000004
89,Uzbekistan,0.014368421052631586,,,,,13.056702632834607,4.444305450752177,4.357608267887425,-0.8999999999999998,37.275000000000006
90,Pakistan,0.02121052631578948,1282.0,4.0,2.0,1281.0,39.110937500055954,0.741968868779712,5.053269437874039,-2.227777777777778,30.6
91,Panama,0.017000000000000005,192.0,0.0,20.0,198.0,16.29645131668095,2.0622698231830077,5.153239293173275,0.09,53.62962962962964
92,Paraguay,0.01421052631578948,41.0,4.0,1.0,45.0,18.317724364192248,0.7775365182657656,4.5772467154845895,-0.5794444444444443,50.56250000000001
93,Netherlands,0.0036315789473684227,372.0,1418.0,608.0,1100.0,6.3286577090972305,9.953310793875195,2.7598409998146196,1.043888888888889,28.6904761904762
94,Philippines,0.016684210526315798,1521.0,2.0,249.0,1272.0,28.499870737696547,0.9209368443620771,4.226240776442327,-1.3338888888888887,45.88571428571429
95,Poland,-0.0008947368421052634,1156.0,1025.0,55.0,2351.0,4.647985474740622,8.218826040165657,3.657686139256691,0.69,33.17333333333333
96,Portugal,-0.0002631578947368423,325.0,44.0,82.0,361.0,8.86549405658949,5.132856288419753,3.082926756047373,0.9788888888888889,36.07647058823529
97,Peru,0.010000000000000004,1523.0,1.0,60.0,1465.0,22.855495050270175,1.286184300276114,3.574786493001896,-0.7755555555555556,47.71666666666666
98,Romania,-0.0066842105263157925,381.0,69.0,146.0,392.0,4.390391216533129,4.517115210625483,2.2493339919383732,0.155,36.199999999999996
99,Rwanda,0.02326315789473685,19.0,0.0,0.0,19.0,48.200650742696595,0.07479311732088359,4.735268489142377,-0.5244444444444445,47.3
100,Central African Republic,0.013157894736842108,11.0,,4.0,7.0,62.7179530524205,0.050766740866945284,1.420627305291065,-1.8433333333333333,58.75
101,Dominican Republic,0.012000000000000004,375.0,6.0,42.0,339.0,21.205407466094325,1.978277018984358,5.215688532523991,0.007777777777777769,47.719230769230776
102,Samoa,0.006157894736842106,15.0,0.0,17.0,0.0,11.882980326258675,0.9887048200066205,1.9057653448569363,1.0955555555555554,40.46666666666667
103,Sao Tome and Principe,0.02110526315789474,2.0,,2.0,1.0,40.923080822222424,0.4829566823564406,4.520294219983593,0.3161111111111111,34.53333333333334
